spam,to_multiple,from,cc,sent_email,time,image,attach,dollar,winner,inherit,viagra,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number
not spam,0,1,0,1,2012-01-02T01:40:40Z,0,0,0,no,0,0,0,0.596,33,text,1,0,0,2,small
not spam,0,1,0,0,2012-01-02T01:58:14Z,0,0,0,no,0,0,0,4.56,64,HTML,0,0,0,0,none
not spam,0,1,0,0,2012-01-02T02:05:45Z,0,0,0,no,0,0,0,2.192,85,HTML,0,0,0,3,big
not spam,0,1,0,0,2012-01-02T02:05:47Z,2,2,9,no,0,0,0,11.453,344,HTML,0,0,0,4,big
not spam,0,1,0,0,2012-01-02T07:07:22Z,0,0,21,no,0,0,0,16.647,560,HTML,0,0,0,3,small
not spam,0,1,0,1,2012-01-02T02:07:20Z,0,0,0,no,0,0,0,0.2,10,text,1,0,0,0,small
not spam,0,1,0,0,2012-01-02T02:08:14Z,0,0,0,no,0,0,0,4.938,69,HTML,0,0,0,0,none
not spam,0,1,0,0,2012-01-02T02:51:24Z,0,0,0,no,0,0,0,2.228,45,text,1,0,0,1,small
not spam,0,1,1,0,2012-01-02T03:16:39Z,0,0,0,no,0,0,0,3.959,81,text,1,0,0,1,small
not spam,0,1,2,0,2012-01-02T04:07:57Z,0,0,0,no,0,0,0,4.549,67,text,1,0,0,1,small
not spam,0,1,0,0,2012-01-02T03:58:42Z,0,0,0,no,0,0,0,0.506,18,text,0,0,0,0,none
not spam,0,1,0,0,2012-01-02T04:43:43Z,0,0,0,no,0,0,0,2.207,57,HTML,0,0,0,5,small
not spam,0,1,2,1,2012-01-02T02:58:13Z,0,1,0,no,0,0,0,0.235,17,text,0,0,0,0,none
not spam,1,1,2,0,2012-01-02T18:09:45Z,0,0,0,no,0,0,0,7.813,97,text,1,0,0,1,small
not spam,1,1,2,0,2012-01-02T18:37:38Z,0,0,0,no,0,0,0,10.614,118,text,1,0,0,1,small
not spam,1,1,3,0,2012-01-02T13:41:11Z,0,0,0,no,0,0,0,31.644,569,HTML,1,0,0,2,big
not spam,0,1,0,0,2012-01-02T14:35:56Z,0,0,0,no,0,0,0,1.566,39,text,1,0,0,3,small
not spam,0,1,1,0,2012-01-02T15:12:51Z,0,0,0,no,0,0,0,45.842,881,HTML,1,0,0,5,big
not spam,0,1,0,0,2012-01-02T15:12:51Z,0,0,0,no,0,0,0,2.317,30,text,0,0,0,0,big
not spam,1,1,1,0,2012-01-02T20:50:47Z,0,0,0,no,0,0,0,13.788,169,text,1,0,0,3,small
not spam,1,1,0,0,2012-01-02T16:44:40Z,0,0,0,no,0,0,0,2.196,57,HTML,1,0,0,1,small
not spam,0,1,4,0,2012-01-02T16:45:36Z,0,0,0,no,0,0,0,11.438,125,text,1,0,0,2,small
not spam,0,1,5,0,2012-01-02T17:48:26Z,0,0,0,no,0,0,0,12.268,259,text,1,0,0,2,small
not spam,0,1,0,0,2012-01-02T18:14:33Z,0,0,0,no,0,0,0,1.541,51,text,0,0,0,3,small
not spam,1,1,1,0,2012-01-02T15:27:07Z,0,0,0,no,1,0,0,33.451,558,HTML,1,0,0,6,big
not spam,0,1,6,0,2012-01-02T15:39:04Z,0,0,0,no,0,0,0,13.266,269,text,1,0,0,2,small
not spam,0,1,7,0,2012-01-03T00:07:51Z,0,0,0,no,0,0,0,0.334,9,text,1,0,0,0,small
not spam,1,1,0,1,2012-01-02T19:22:55Z,0,0,6,no,0,0,0,45.966,1231,HTML,1,1,0,29,small
not spam,1,1,2,0,2012-01-02T21:24:21Z,0,0,0,no,0,0,0,8.718,185,text,1,0,0,3,small
not spam,0,1,0,0,2012-01-02T21:55:03Z,0,0,0,no,0,0,0,1.482,24,HTML,0,0,0,0,none
not spam,0,1,0,0,2012-01-03T03:37:50Z,0,0,0,no,0,0,0,8.549,154,HTML,0,0,0,4,small
not spam,0,1,0,0,2012-01-03T01:07:17Z,0,0,0,no,0,0,0,14.431,296,HTML,0,0,0,0,small
not spam,0,1,0,0,2012-01-03T03:07:44Z,0,0,8,no,0,0,0,24.167,417,HTML,0,1,0,32,small
not spam,0,1,0,0,2012-01-03T04:31:03Z,0,0,0,no,0,0,2,1.143,13,text,0,0,0,1,none
not spam,0,1,0,0,2012-01-03T09:34:50Z,0,0,11,no,0,0,0,15.517,350,HTML,0,1,0,2,small
not spam,0,1,0,1,2012-01-03T04:34:50Z,0,0,6,no,0,0,0,9.535,182,HTML,1,0,0,4,small
not spam,0,1,0,1,2012-01-03T05:31:45Z,0,0,6,no,0,0,0,14.241,308,HTML,1,0,0,6,small
not spam,0,1,0,0,2012-01-03T05:41:35Z,0,0,5,no,0,0,0,0.978,13,text,0,0,0,0,small
not spam,0,1,0,0,2012-01-03T14:20:23Z,0,0,0,no,0,0,0,7.472,207,HTML,0,0,0,0,big
not spam,0,1,0,1,2012-01-03T09:29:15Z,0,0,0,no,0,0,0,1.398,41,text,0,0,0,1,none
not spam,0,1,0,0,2012-01-03T16:02:35Z,0,0,4,no,1,0,0,7.792,192,HTML,0,0,0,6,small
not spam,0,1,0,0,2012-01-03T11:14:51Z,0,0,0,no,0,0,1,0.978,14,text,0,0,0,0,small
not spam,0,1,0,0,2012-01-03T10:23:56Z,0,0,0,no,0,0,0,10.09,166,HTML,0,0,0,1,small
not spam,1,1,0,0,2012-01-03T13:36:16Z,0,0,0,no,0,0,0,5.159,95,text,0,0,0,0,small
not spam,0,1,0,0,2012-01-03T13:33:28Z,0,0,18,no,0,0,0,29.981,555,HTML,0,0,0,15,small
not spam,0,1,0,0,2012-01-03T13:48:23Z,0,0,16,no,0,0,0,18.945,249,HTML,0,1,0,16,small
not spam,0,1,0,1,2012-01-03T14:38:47Z,0,0,0,no,0,0,0,15.42,595,HTML,0,0,0,9,big
not spam,1,1,0,0,2012-01-02T17:49:31Z,0,0,0,no,0,0,0,2.018,32,text,1,0,0,0,small
not spam,0,1,0,1,2012-01-03T22:01:57Z,0,0,0,no,0,0,0,0.988,25,HTML,0,0,0,2,small
not spam,0,1,0,1,2012-01-03T16:36:14Z,0,0,0,no,0,0,0,0.159,11,text,1,0,0,0,small
not spam,0,1,0,1,2012-01-04T00:40:36Z,0,0,0,no,0,0,0,2.828,80,HTML,1,0,0,4,small
not spam,0,1,0,0,2012-01-03T17:41:35Z,0,0,2,no,0,0,0,22.393,411,HTML,0,0,0,49,small
not spam,0,1,0,0,2012-01-03T18:45:58Z,0,0,2,no,0,0,0,7.844,142,HTML,0,1,0,6,small
not spam,1,1,0,1,2012-01-03T16:18:59Z,0,0,0,yes,0,0,0,4.77,134,HTML,1,0,0,10,small
not spam,0,1,0,0,2012-01-03T19:33:37Z,0,0,0,no,0,0,0,0.795,30,text,0,0,0,1,none
not spam,0,1,2,0,2012-01-03T19:55:52Z,0,0,0,no,0,0,0,0.829,22,text,0,0,0,0,small
not spam,0,1,0,1,2012-01-03T20:32:11Z,0,0,0,no,0,0,0,0.432,13,HTML,0,0,0,0,small
not spam,0,1,0,0,2012-01-04T01:44:27Z,0,0,21,no,0,0,0,16.615,557,HTML,0,0,0,3,small
not spam,0,1,0,1,2012-01-03T20:59:23Z,0,0,0,no,0,0,0,1.732,54,HTML,1,0,0,0,small
not spam,1,1,0,0,2012-01-03T21:14:13Z,0,1,0,no,0,0,0,8.596,159,HTML,0,0,0,0,small
not spam,0,1,0,0,2012-01-03T21:48:40Z,0,0,0,no,0,0,0,2.938,81,HTML,1,0,0,4,small
not spam,0,1,0,0,2012-01-03T19:51:16Z,0,0,2,no,0,0,0,4.103,173,HTML,0,0,0,0,small
not spam,0,1,0,1,2012-01-03T19:19:04Z,0,0,0,no,0,0,0,0.599,16,HTML,0,0,0,0,none
not spam,0,1,3,0,2012-01-03T22:19:37Z,0,1,0,no,0,0,0,3.485,108,text,1,0,0,0,small
not spam,1,1,1,0,2012-01-03T22:34:13Z,0,0,0,no,0,0,0,4.512,107,HTML,0,0,0,0,small
not spam,0,1,0,0,2012-01-03T22:40:07Z,1,1,9,no,0,0,0,4.761,151,HTML,0,0,0,1,big
not spam,1,1,0,1,2012-01-03T20:57:27Z,0,0,0,no,0,0,0,0.64,19,HTML,0,0,0,0,none
not spam,0,1,0,0,2012-01-04T00:06:48Z,0,0,0,no,0,0,0,4.04,76,HTML,0,0,0,4,small
not spam,0,1,1,1,2012-01-04T00:36:42Z,0,0,0,no,0,0,0,1.401,41,HTML,1,0,0,0,small
not spam,0,1,3,1,2012-01-04T00:38:31Z,0,0,0,no,0,0,0,9.273,248,HTML,1,0,0,0,small
not spam,0,1,0,0,2012-01-04T00:40:26Z,0,0,0,no,0,0,2,89.27,1582,HTML,0,0,0,139,big
not spam,1,1,0,1,2012-01-04T00:01:24Z,0,0,0,no,0,0,0,1.389,37,HTML,0,1,0,8,small
not spam,0,1,0,0,2012-01-04T06:07:04Z,0,0,6,no,0,0,0,8.475,279,HTML,0,0,0,2,small
not spam,0,1,2,1,2012-01-04T03:21:48Z,1,1,0,no,0,0,0,0.623,17,HTML,1,0,0,4,big
not spam,0,1,1,1,2012-01-04T03:45:00Z,0,0,0,no,0,0,0,1.132,33,HTML,1,0,0,4,small
not spam,0,1,1,1,2012-01-04T04:11:48Z,0,0,0,no,0,0,0,2.753,68,HTML,1,1,0,16,small
not spam,0,1,0,1,2012-01-04T04:34:24Z,0,0,2,no,0,0,0,6.133,143,HTML,1,0,0,0,small
not spam,0,1,0,1,2012-01-04T05:22:29Z,0,0,0,no,0,0,0,1.589,38,HTML,1,0,0,0,small
not spam,0,1,0,1,2012-01-04T06:09:10Z,0,0,0,no,0,0,0,0.932,21,HTML,0,0,0,2,none
not spam,0,1,0,0,2012-01-04T03:13:02Z,0,0,0,no,0,0,0,8.756,145,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-04T14:01:52Z,0,0,0,no,0,0,0,3.621,82,HTML,0,0,0,0,small
not spam,0,1,0,0,2012-01-04T17:51:48Z,0,1,0,no,0,0,0,10.398,130,HTML,0,0,0,2,small
not spam,0,1,0,0,2012-01-04T17:49:52Z,0,0,0,no,0,0,0,2.454,61,text,0,0,0,1,small
not spam,0,1,0,1,2012-01-04T13:03:37Z,0,1,0,no,0,0,0,0.347,18,text,0,0,0,0,small
not spam,0,1,0,0,2012-01-04T13:16:12Z,0,0,20,no,0,0,0,17.405,233,HTML,0,0,0,18,small
not spam,0,1,0,0,2012-01-04T13:21:20Z,0,0,0,no,0,0,0,10.952,309,HTML,0,0,0,3,big
not spam,0,1,0,0,2012-01-04T18:27:36Z,0,0,0,no,0,0,0,15.829,242,HTML,0,0,0,4,small
not spam,1,1,1,0,2012-01-04T13:24:39Z,0,0,0,no,0,0,0,2.927,74,text,1,0,0,1,small
not spam,1,1,1,0,2012-01-04T14:09:29Z,0,0,0,no,0,0,0,15.038,297,HTML,1,0,0,4,big
not spam,1,1,0,1,2012-01-04T13:31:02Z,0,0,2,no,0,0,0,2.404,75,HTML,0,0,0,4,small
not spam,0,1,6,1,2012-01-04T13:39:30Z,0,0,2,no,0,0,0,4.373,120,HTML,1,0,0,7,small
not spam,0,1,0,1,2012-01-04T21:03:40Z,0,0,0,no,0,0,0,4.995,130,HTML,1,0,0,8,small
not spam,1,1,4,0,2012-01-04T15:04:49Z,0,0,0,no,0,0,0,4.337,94,text,1,0,0,1,small
not spam,0,1,5,0,2012-01-04T15:20:40Z,0,0,0,no,0,0,0,4.736,109,text,1,0,0,2,small
not spam,0,1,0,0,2012-01-04T16:01:13Z,0,0,0,no,0,0,0,3.215,183,HTML,0,0,0,0,big
not spam,0,1,0,1,2012-01-04T13:03:05Z,0,0,0,no,0,0,0,16.51,394,HTML,1,0,0,8,small
not spam,0,1,0,0,2012-01-04T13:15:49Z,0,0,0,no,0,0,0,6.717,114,HTML,0,0,0,1,small
not spam,0,1,0,1,2012-01-04T13:19:16Z,0,0,0,no,0,0,0,21.705,551,HTML,1,0,0,8,small
not spam,0,1,0,1,2012-01-04T13:40:12Z,0,0,0,no,0,0,0,27.071,721,HTML,1,0,0,10,small
not spam,0,1,1,0,2012-01-04T16:58:32Z,0,0,0,no,0,0,0,6.056,141,text,1,0,0,3,small
not spam,0,1,0,0,2012-01-04T17:54:46Z,0,0,0,no,0,0,0,1.653,25,HTML,0,0,0,0,small
not spam,0,1,0,1,2012-01-04T15:10:01Z,0,0,0,no,0,0,0,31.112,875,HTML,1,0,0,16,small
not spam,0,1,0,1,2012-01-04T17:15:36Z,0,0,0,no,0,0,0,7.193,148,HTML,1,0,0,10,small
not spam,0,1,2,1,2012-01-04T18:16:21Z,0,0,0,no,0,0,0,6.264,135,HTML,1,0,0,4,big
not spam,0,1,0,1,2012-01-04T18:49:54Z,0,0,0,no,0,0,0,12.862,333,HTML,1,0,0,4,small
not spam,0,1,1,1,2012-01-05T00:10:53Z,0,0,0,no,0,0,0,7.861,242,HTML,1,0,0,7,small
not spam,0,1,0,1,2012-01-04T19:17:16Z,0,0,0,no,0,0,0,17.06,426,HTML,1,0,0,8,small
not spam,1,1,0,1,2012-01-04T19:27:31Z,0,0,0,no,0,0,0,5.887,89,text,0,0,0,0,small
not spam,0,1,0,0,2012-01-04T20:19:00Z,0,0,0,no,0,0,0,23.172,456,HTML,0,0,0,57,small
not spam,0,1,0,0,2012-01-04T20:48:03Z,0,0,0,no,0,0,0,8.544,172,HTML,0,0,0,2,big
not spam,0,1,0,0,2012-01-05T01:59:27Z,0,0,4,no,0,0,0,1.041,31,text,0,0,0,2,small
not spam,0,1,0,0,2012-01-05T02:03:44Z,0,0,4,no,0,0,0,1.041,31,text,0,0,0,2,small
not spam,0,1,0,0,2012-01-05T02:04:18Z,0,0,5,no,0,0,1,17.853,345,HTML,0,1,0,18,small
not spam,0,1,0,0,2012-01-05T02:04:41Z,0,0,5,no,0,0,1,17.853,345,HTML,0,1,0,18,small
not spam,0,1,0,0,2012-01-05T02:20:13Z,0,0,0,no,0,0,0,24.202,680,HTML,0,0,0,4,small
not spam,1,1,0,0,2012-01-04T21:49:46Z,0,0,0,no,0,0,0,8.347,202,HTML,0,0,0,5,big
not spam,0,1,0,1,2012-01-04T21:23:47Z,0,0,0,no,0,0,0,44.591,1307,HTML,0,0,0,36,big
not spam,0,1,0,1,2012-01-04T22:37:49Z,0,0,0,no,0,0,0,9.374,252,HTML,1,0,0,2,big
not spam,0,1,0,0,2012-01-04T20:45:31Z,0,0,0,no,0,0,0,3.416,57,HTML,0,0,0,0,big
not spam,0,1,0,1,2012-01-04T20:50:45Z,0,0,8,no,0,0,0,11.615,210,HTML,1,0,0,4,small
not spam,0,1,4,1,2012-01-05T00:42:54Z,0,0,2,no,0,0,0,4.01,118,HTML,1,0,0,6,small
not spam,1,1,0,0,2012-01-04T23:31:22Z,0,0,0,no,0,0,0,9.816,130,text,0,0,0,0,small
not spam,0,1,0,0,2012-01-04T23:05:29Z,0,0,7,no,0,0,0,10.996,213,HTML,0,0,0,5,big
not spam,0,1,0,0,2012-01-05T02:00:07Z,0,0,0,no,0,0,0,6.39,154,HTML,0,1,0,0,none
not spam,0,1,0,0,2012-01-05T04:29:50Z,0,0,22,no,0,0,0,20.191,266,HTML,0,1,0,30,small
not spam,1,1,0,1,2012-01-05T04:22:04Z,20,20,0,no,0,0,0,21.634,691,HTML,0,0,0,15,big
not spam,1,1,0,1,2012-01-05T04:24:36Z,0,0,0,no,0,0,0,9.754,327,HTML,0,0,0,9,big
not spam,0,1,0,0,2012-01-05T08:27:33Z,0,0,0,no,0,0,2,10.366,198,HTML,0,0,0,1,big
not spam,0,1,0,0,2012-01-05T16:06:40Z,0,0,4,no,1,0,0,7.764,192,HTML,0,0,0,6,small
not spam,0,1,0,0,2012-01-05T09:41:12Z,0,0,0,no,0,0,0,13.437,255,HTML,0,0,0,45,small
not spam,0,1,0,1,2012-01-05T13:38:26Z,0,0,0,no,0,0,0,3.186,67,HTML,1,0,0,0,small
not spam,1,1,0,1,2012-01-05T13:56:10Z,0,0,0,no,0,0,0,17.835,568,HTML,1,0,0,11,big
not spam,1,1,0,0,2012-01-05T15:01:14Z,1,1,0,no,0,0,0,5.159,82,text,0,0,0,0,small
not spam,0,1,7,1,2012-01-05T14:25:33Z,0,0,0,no,0,0,0,9.871,340,HTML,0,0,0,11,big
not spam,0,1,0,0,2012-01-05T12:25:02Z,0,0,0,no,0,0,0,6.19,126,HTML,0,0,0,0,small
not spam,0,1,0,0,2012-01-05T15:44:29Z,0,0,0,no,0,0,0,8.768,152,HTML,0,0,0,4,small
not spam,0,1,0,0,2012-01-05T21:06:31Z,0,0,6,no,0,0,0,1.594,51,text,0,1,0,0,small
not spam,0,1,6,0,2012-01-05T16:47:46Z,0,0,0,no,0,0,0,14.345,303,HTML,1,0,0,4,big
not spam,0,1,0,1,2012-01-05T17:24:00Z,0,0,0,no,0,0,0,0.342,11,text,1,0,0,0,small
not spam,0,1,0,1,2012-01-05T18:12:10Z,0,0,0,no,0,0,0,6.64,99,text,1,0,0,3,small
not spam,0,1,0,0,2012-01-05T18:32:25Z,0,0,8,no,0,0,0,10.366,177,HTML,0,1,0,12,small
not spam,0,1,0,1,2012-01-05T19:07:23Z,0,0,0,no,0,0,0,12.374,190,text,1,0,0,5,small
not spam,0,1,0,1,2012-01-05T19:09:50Z,0,0,0,no,0,0,0,16.689,254,text,1,0,0,5,small
not spam,0,1,1,1,2012-01-03T19:39:06Z,0,0,0,no,0,0,8,4.945,120,HTML,0,0,0,2,small
not spam,0,1,0,0,2012-01-04T19:24:30Z,0,0,0,no,0,0,0,1.384,27,HTML,0,0,0,2,small
not spam,0,1,1,1,2012-01-05T00:58:22Z,0,0,0,no,0,0,0,0.958,20,HTML,0,1,0,4,none
not spam,0,1,0,1,2012-01-05T15:21:00Z,0,0,0,no,0,0,0,3.492,75,HTML,1,0,0,2,small
not spam,1,1,0,1,2012-01-05T23:51:09Z,0,1,0,no,0,0,0,5.834,127,HTML,0,0,0,5,small
not spam,1,1,0,1,2012-01-05T16:24:47Z,0,0,0,no,0,0,0,2.71,74,HTML,0,0,0,0,small
not spam,0,1,1,1,2012-01-05T19:49:53Z,0,0,0,no,0,0,0,3.231,91,HTML,1,0,0,0,small
not spam,0,1,0,0,2012-01-05T21:42:02Z,0,0,0,no,0,0,0,3.717,72,HTML,0,0,0,0,small
not spam,0,1,1,1,2012-01-05T20:34:21Z,0,0,0,no,0,0,0,33.748,815,HTML,1,0,0,71,big
not spam,1,1,0,0,2012-01-05T21:03:57Z,0,0,0,no,0,0,0,2.93,45,text,0,1,0,3,small
not spam,1,1,0,0,2012-01-05T21:04:09Z,0,0,0,no,0,0,0,8.014,113,text,0,0,0,0,small
not spam,1,1,35,0,2012-01-05T20:04:44Z,0,0,0,no,0,0,0,4.462,85,text,0,0,0,0,small
not spam,0,1,0,0,2012-01-05T21:19:40Z,0,0,2,no,0,0,0,26.777,435,HTML,0,1,0,7,small
not spam,0,1,0,0,2012-01-06T03:00:28Z,0,0,0,no,0,0,0,17.292,390,HTML,0,0,0,29,small
not spam,0,1,0,0,2012-01-06T03:08:08Z,0,0,0,no,0,0,0,10.004,197,HTML,0,0,0,0,big
not spam,0,1,0,0,2012-01-05T22:00:33Z,0,0,8,no,0,0,0,101.727,2189,HTML,0,0,0,23,small
not spam,0,1,1,1,2012-01-05T22:19:25Z,0,0,0,no,0,0,0,4.823,135,HTML,1,0,0,0,small
not spam,0,1,0,1,2012-01-06T01:23:11Z,0,0,2,no,0,0,0,3.21,77,HTML,1,0,0,0,small
not spam,0,1,1,1,2012-01-06T01:41:11Z,0,0,0,no,0,0,0,3.334,73,HTML,1,1,0,12,small
not spam,0,1,0,0,2012-01-05T20:15:32Z,0,0,0,no,0,0,2,1.501,45,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-06T04:00:13Z,0,0,0,no,0,0,2,10.366,198,HTML,0,0,0,1,big
not spam,0,1,0,0,2012-01-06T05:29:35Z,0,0,12,no,0,0,0,14.221,201,HTML,0,0,0,24,small
not spam,0,1,0,0,2012-01-06T13:22:34Z,0,0,0,no,0,0,0,4.792,104,HTML,0,0,0,0,small
not spam,0,1,0,0,2012-01-06T13:49:12Z,0,0,4,no,0,0,0,49.042,828,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-06T09:58:25Z,1,1,0,no,0,0,0,7.974,104,text,0,0,0,0,none
not spam,0,1,0,0,2012-01-06T16:03:30Z,0,0,4,no,1,0,0,7.734,192,HTML,0,0,0,6,small
not spam,0,1,0,0,2012-01-06T09:42:11Z,0,0,0,no,0,0,0,13.484,255,HTML,0,0,0,45,small
not spam,1,1,0,0,2012-01-05T21:28:45Z,0,0,0,no,0,0,0,2.881,50,text,0,0,0,0,small
not spam,1,1,0,0,2012-01-06T14:45:02Z,0,0,0,no,0,0,0,3.943,47,text,0,0,0,0,small
not spam,0,1,0,0,2012-01-06T16:28:38Z,0,0,2,no,0,0,0,22.344,411,HTML,0,0,0,49,small
not spam,0,1,0,0,2012-01-06T17:53:39Z,0,0,10,no,0,0,0,8.666,145,HTML,0,1,0,8,small
not spam,0,1,0,0,2012-01-06T15:57:55Z,0,0,0,no,0,0,0,5.066,106,HTML,0,1,0,0,small
not spam,1,1,0,0,2012-01-06T20:14:47Z,0,0,0,no,0,0,0,4.415,61,text,0,0,0,1,small
not spam,0,1,0,1,2012-01-06T21:09:22Z,0,0,0,no,0,0,0,2.174,49,HTML,1,0,0,2,small
not spam,0,1,0,1,2012-01-06T21:10:25Z,0,0,0,no,0,0,0,0.368,12,HTML,0,0,0,0,small
not spam,0,1,0,1,2012-01-06T21:18:13Z,0,0,0,no,0,0,0,1.567,48,HTML,1,0,0,0,small
not spam,0,1,0,1,2012-01-06T21:19:45Z,0,0,0,no,0,0,0,1.16,34,HTML,1,0,0,0,small
not spam,0,1,0,0,2012-01-07T02:21:50Z,0,0,0,no,0,0,0,3.271,64,HTML,0,0,0,4,none
not spam,0,1,0,0,2012-01-06T21:22:02Z,0,0,0,no,0,0,2,10.366,198,HTML,0,0,0,1,big
not spam,0,1,0,1,2012-01-06T21:36:01Z,0,0,0,no,0,0,0,0.441,16,HTML,1,0,0,0,small
not spam,0,1,0,1,2012-01-06T21:40:12Z,0,0,0,no,0,0,0,0.122,7,text,1,0,0,0,small
not spam,1,1,0,0,2012-01-06T22:14:50Z,0,0,0,no,0,0,0,9.961,210,HTML,0,0,0,0,big
not spam,0,1,0,0,2012-01-06T19:41:32Z,0,0,0,no,0,0,0,3.872,89,HTML,0,0,0,0,big
not spam,0,1,0,0,2012-01-06T22:50:16Z,0,0,0,no,0,0,0,3.243,37,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-06T23:29:29Z,0,0,0,no,0,0,0,33.63,375,HTML,0,0,0,8,small
not spam,0,1,0,0,2012-01-07T01:41:36Z,0,0,0,no,0,0,0,8.763,145,HTML,0,0,0,3,small
not spam,0,1,0,0,2012-01-07T13:18:27Z,0,0,0,no,0,0,0,8.535,208,HTML,0,0,0,0,small
not spam,0,1,0,0,2012-01-07T16:00:09Z,0,0,8,no,1,0,0,10.017,238,HTML,0,0,0,7,small
not spam,0,1,0,1,2012-01-07T13:57:02Z,0,0,4,no,0,0,0,2.088,29,HTML,0,0,0,0,big
not spam,0,1,0,0,2012-01-07T19:29:16Z,0,0,23,no,0,0,0,17.17,578,HTML,0,0,0,3,small
not spam,0,1,0,0,2012-01-07T19:29:16Z,0,0,0,no,0,0,0,11.05,260,HTML,0,0,0,3,small
not spam,0,1,0,1,2012-01-07T15:15:25Z,0,0,4,no,0,0,0,4.607,84,HTML,1,0,0,2,big
not spam,0,1,0,0,2012-01-07T12:32:30Z,0,0,0,no,0,0,0,6.724,114,HTML,0,0,0,1,small
not spam,1,1,0,1,2012-01-07T14:38:21Z,1,1,0,no,0,0,0,7.335,251,HTML,0,0,0,6,big
not spam,0,1,0,0,2012-01-07T12:44:17Z,0,0,0,no,0,0,0,9.635,164,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-07T13:21:24Z,0,0,0,no,0,0,0,16.043,256,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-07T13:28:08Z,0,0,0,no,0,0,0,7.515,126,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-07T13:39:46Z,0,0,0,no,0,0,0,16.022,255,HTML,0,0,0,1,small
not spam,1,1,0,0,2012-01-07T17:18:18Z,0,0,0,no,0,0,0,1.228,30,text,0,0,0,2,small
not spam,0,1,0,0,2012-01-07T14:51:29Z,0,0,0,no,0,0,0,6.832,116,HTML,0,0,0,1,small
not spam,0,1,0,1,2012-01-07T15:17:45Z,0,0,0,no,0,0,0,0.789,22,text,1,0,0,0,small
not spam,1,1,0,0,2012-01-07T15:20:09Z,0,0,0,no,0,0,0,5.339,95,HTML,0,0,0,4,big
not spam,0,1,0,0,2012-01-07T23:53:11Z,0,0,0,no,0,0,0,8.693,175,HTML,0,0,0,0,big
not spam,0,1,0,0,2012-01-07T16:06:04Z,0,0,0,no,0,0,0,6.846,116,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-07T16:32:24Z,0,0,0,no,0,0,0,15.909,254,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-07T16:34:55Z,0,0,0,no,0,0,0,8.504,142,HTML,0,0,0,1,small
not spam,0,1,0,0,2012-01-07T17:25:00Z,0,0,0,no,0,0,0,6.854,116,HTML,0,0,0,1,small
